tier,namespace,type,api,kind,jalium_sig,wpf_sig,suggestion
1,System.Windows,FrameworkPropertyMetadata,Inherits,accessibility,public bool Inherits { get; internal set; } [inherited from PropertyMetadata],public bool Inherits { get; set; },"WPF exposes a public setter on FrameworkPropertyMetadata; Jalium's Inherits (on base PropertyMetadata) has an internal setter, so setting it from user code / object initializer is impossible."
1,System.Windows,Freezable,OnChanged,kind-mismatch,protected void OnChanged(),protected virtual void OnChanged(),"Make OnChanged virtual so derived Freezables can override the change hook, matching WPF."
1,System.Windows,FreezableCollection<T>,Clone,return-type,"public Freezable Clone()  (inherited from Freezable, not shadowed)",public new System.Windows.FreezableCollection<T> Clone(),Add a strongly-typed 'public new FreezableCollection<T> Clone()' that casts base.Clone().
1,System.Windows,FreezableCollection<T>,CloneCurrentValue,return-type,"public Freezable CloneCurrentValue()  (inherited from Freezable, not shadowed)",public new System.Windows.FreezableCollection<T> CloneCurrentValue(),Add a strongly-typed 'public new FreezableCollection<T> CloneCurrentValue()'.
1,System.Windows,FreezableCollection<T>,GetEnumerator,return-type,public System.Collections.Generic.IEnumerator<T> GetEnumerator(),public System.Windows.FreezableCollection<T>.Enumerator GetEnumerator(),"Introduce the nested public struct Enumerator and return it from GetEnumerator() (WPF returns a struct enumerator, not the interface)."
1,System.Windows,GiveFeedbackEventArgs,InvokeEventHandler,accessibility,"internal override void InvokeEventHandler(System.Delegate handler, object target)","protected override void InvokeEventHandler(System.Delegate genericHandler, object genericTarget)","Change InvokeEventHandler to protected to match WPF. Systemic: Jalium base RoutedEventArgs.InvokeEventHandler is 'internal virtual' (RoutedEventArgs.cs:74), so every subclass overrides it as internal."
1,System.Windows,GridLengthConverter,ConvertFrom,param-count,public override object? ConvertFrom(object? value),"public override object ConvertFrom(System.ComponentModel.ITypeDescriptorContext typeDescriptorContext, System.Globalization.CultureInfo cultureInfo, object source)","Jalium's converter derives from a custom Jalium.UI.Markup.TypeConverter with a single-arg ConvertFrom; WPF's 3-arg (context, culture, source) override is absent."
1,System.Windows,HierarchicalDataTemplate,.ctor,param-type,public HierarchicalDataTemplate(Type dataType),public HierarchicalDataTemplate(object dataType),Widen the constructor parameter from Type to object to match WPF (DataTemplate.DataType is typed object).
1,System.Windows,IInputElement,Focusable,accessibility,bool Focusable { get; },bool Focusable { get; set; },Add a set accessor so Focusable is read-write to match WPF.
1,System.Windows,Int32Rect,X,accessibility,public int X { get; },public int X { get; set; },Add a public setter (or make the struct mutable) so X can be assigned as in WPF.
1,System.Windows,Int32Rect,Y,accessibility,public int Y { get; },public int Y { get; set; },Add a public setter for Y.
1,System.Windows,Int32Rect,Width,accessibility,public int Width { get; },public int Width { get; set; },Add a public setter for Width.
1,System.Windows,Int32Rect,Height,accessibility,public int Height { get; },public int Height { get; set; },Add a public setter for Height.
1,System.Windows,Localization,GetAttributes,param-type,public static string GetAttributes(DependencyObject element),public static string GetAttributes(object element),Change parameter type object->DependencyObject to match WPF signature (also add [AttachedPropertyBrowsableForType(typeof(object))]).
1,System.Windows,Localization,GetComments,param-type,public static string GetComments(DependencyObject element),public static string GetComments(object element),Change parameter type object->DependencyObject to match WPF signature (also add [AttachedPropertyBrowsableForType(typeof(object))]).
1,System.Windows,Localization,SetAttributes,param-type,"public static void SetAttributes(DependencyObject element, string value)","public static void SetAttributes(object element, string attributes)",Change first parameter type object->DependencyObject to match WPF signature.
1,System.Windows,Localization,SetComments,param-type,"public static void SetComments(DependencyObject element, string value)","public static void SetComments(object element, string comments)",Change first parameter type object->DependencyObject to match WPF signature.
1,System.Windows,LogicalTreeHelper,GetChildren,return-type,public static IEnumerable<object> GetChildren(DependencyObject current),public static System.Collections.IEnumerable GetChildren(System.Windows.DependencyObject current),Return non-generic System.Collections.IEnumerable to match WPF exactly (currently IEnumerable<object>).
1,System.Windows,MultiDataTrigger,Conditions,return-type,public IList<BindingCondition> Conditions { get; },public System.Windows.ConditionCollection Conditions { get; },Return ConditionCollection of Condition; Jalium uses IList<BindingCondition> (both a different collection type and a different element type).
1,System.Windows,MultiDataTrigger,Setters,return-type,public IList<Setter> Setters { get; },public System.Windows.SetterBaseCollection Setters { get; },Return SetterBaseCollection (inherited via TriggerBase); Jalium's TriggerBase.Setters is IList<Setter>.
1,System.Windows,MultiTrigger,Conditions,return-type,public IList<Condition> Conditions { get; },public System.Windows.ConditionCollection Conditions { get; },Return ConditionCollection to match WPF; Jalium uses IList<Condition>.
1,System.Windows,MultiTrigger,Setters,return-type,public IList<Setter> Setters { get; },public System.Windows.SetterBaseCollection Setters { get; },Return SetterBaseCollection (inherited via TriggerBase); Jalium's TriggerBase.Setters is IList<Setter>.
1,System.Windows,Point,X,accessibility,public double X { get; },public double X { get; set; },WPF Point is mutable; add a public setter for X so point.X = v compiles.
1,System.Windows,Point,Y,accessibility,public double Y { get; },public double Y { get; set; },Add a public setter for Y.
1,System.Windows,PointConverter,PointConverter (base class),kind-mismatch,public sealed class PointConverter : Jalium.UI.Markup.TypeConverter,public sealed class PointConverter : System.ComponentModel.TypeConverter,"Jalium derives from a bespoke abstract Jalium.UI.Markup.TypeConverter (only ConvertFrom(object?)/CanConvertFrom(Type)), not System.ComponentModel.TypeConverter; the full WPF TypeConverter contract is unavailable."
1,System.Windows,PointConverter,CanConvertFrom,param-count,public virtual bool CanConvertFrom(System.Type sourceType),"public override bool CanConvertFrom(System.ComponentModel.ITypeDescriptorContext context, System.Type sourceType)",Add the ITypeDescriptorContext parameter to match WPF.
1,System.Windows,PointConverter,ConvertFrom,param-count,public override object? ConvertFrom(object? value),"public override object ConvertFrom(System.ComponentModel.ITypeDescriptorContext context, System.Globalization.CultureInfo culture, object value)","WPF's ConvertFrom takes (context, culture, value); Jalium takes only (value)."
1,System.Windows,PropertyMetadata,DefaultValue,accessibility,public object? DefaultValue { get; },public object DefaultValue { get; set; },WPF DefaultValue is settable (until sealed); Jalium is get-only. Add a seal-guarded public setter.
1,System.Windows,PropertyMetadata,PropertyChangedCallback,accessibility,public PropertyChangedCallback? PropertyChangedCallback { get; },public System.Windows.PropertyChangedCallback PropertyChangedCallback { get; set; },WPF's PropertyChangedCallback is settable; Jalium is get-only. Add a seal-guarded public setter.
1,System.Windows,PropertyMetadata,CoerceValueCallback,accessibility,public CoerceValueCallback? CoerceValueCallback { get; },public System.Windows.CoerceValueCallback CoerceValueCallback { get; set; },WPF's CoerceValueCallback is settable; Jalium is get-only. Add a seal-guarded public setter.
1,System.Windows,PropertyPath,Path,accessibility,public string Path { get; },public string Path { get; set; },Add a public setter; Jalium's Path is get-only (backed by readonly field).
1,System.Windows,PropertyPath,PathParameters,return-type,public IList<object> PathParameters { get; },public System.Collections.ObjectModel.Collection<object> PathParameters { get; },"Return Collection<object> to match WPF; Jalium returns IList<object> (and backs it with a fixed array, so it is not mutable/growable)."
1,System.Windows,QueryContinueDragEventArgs,InvokeEventHandler,accessibility,"internal override void InvokeEventHandler(Delegate handler, object target)","protected override void InvokeEventHandler(System.Delegate genericHandler, object genericTarget)",Change from internal to protected to match the WPF extensibility surface.
1,System.Windows,Rect,X,accessibility,"public double X { get; }  // readonly struct, no setter",public double X { get; set; },WPF Rect is mutable; Jalium is a readonly struct. Remove readonly / add setters so X is assignable to match WPF.
1,System.Windows,Rect,Y,accessibility,"public double Y { get; }  // readonly struct, no setter",public double Y { get; set; },Add settable Y for WPF parity.
1,System.Windows,Rect,Width,accessibility,"public double Width { get; }  // readonly struct, no setter",public double Width { get; set; },Add settable Width for WPF parity.
1,System.Windows,Rect,Height,accessibility,"public double Height { get; }  // readonly struct, no setter",public double Height { get; set; },Add settable Height for WPF parity.
1,System.Windows,Rect,Size,accessibility,"public Size Size { get; }  // readonly struct, no setter",public System.Windows.Size Size { get; set; },Add settable Size for WPF parity.
1,System.Windows,Rect,Intersect,return-type,public Rect Intersect(Rect rect),public void Intersect(System.Windows.Rect rect),"WPF Intersect mutates in place and returns void; Jalium returns a new Rect. Provide a void in-place Intersect plus static Intersect(rect1,rect2) for parity."
1,System.Windows,Rect,Union,return-type,public Rect Union(Rect rect),public void Union(System.Windows.Rect rect),WPF Union mutates in place and returns void; Jalium returns a new Rect. Provide void in-place Union plus static Union overloads for parity.
1,System.Windows,ResourceDictionary,IsFixedSize,accessibility,bool System.Collections.IDictionary.IsFixedSize { get; } (explicit),public bool IsFixedSize { get; },"Expose IsFixedSize as a public instance property; Jalium only implements it explicitly via IDictionary, so it is not on the public surface."
1,System.Windows,ResourceDictionary,Keys,return-type,public ICollection<object> Keys { get; },public System.Collections.ICollection Keys { get; },Public Keys should return non-generic System.Collections.ICollection to match WPF (ICollection<object> does not implement non-generic ICollection).
1,System.Windows,ResourceDictionary,Values,return-type,public ICollection<object?> Values { get; },public System.Collections.ICollection Values { get; },Public Values should return non-generic System.Collections.ICollection to match WPF.
1,System.Windows,ResourceDictionary,MergedDictionaries,return-type,public IList<ResourceDictionary> MergedDictionaries { get; },public System.Collections.ObjectModel.Collection<System.Windows.ResourceDictionary> MergedDictionaries { get; },Return Collection<ResourceDictionary> to match WPF; Jalium returns IList<ResourceDictionary>.
1,System.Windows,ResourceDictionary,GetEnumerator,return-type,"public IEnumerator<KeyValuePair<object, object?>> GetEnumerator()",public System.Collections.IDictionaryEnumerator GetEnumerator(),Public GetEnumerator should return IDictionaryEnumerator to match WPF; Jalium's public GetEnumerator returns the generic enumerator and hides the dictionary enumerator behind explicit IDictionary.GetEnumerator.
1,System.Windows,ResourceDictionary,Remove,return-type,public bool Remove(object key),public void Remove(object key),WPF's public Remove(object) returns void; Jalium returns bool (source-incompatible for code that treats it as void).
1,System.Windows,RoutedEventArgs,InvokeEventHandler,accessibility,"internal virtual void InvokeEventHandler(Delegate handler, object target)","protected virtual void InvokeEventHandler(System.Delegate genericHandler, object genericTarget)","Make it protected virtual so out-of-assembly RoutedEventArgs subclasses can override the handler-invocation hook, matching WPF."
1,System.Windows,RoutedEventHandlerInfo,RoutedEventHandlerInfo (type declaration),kind-mismatch,internal sealed class RoutedEventHandlerInfo,public partial struct RoutedEventHandlerInfo,Redeclare as a public struct (value type); the class form loses value semantics and the ==/!= equality contract.
1,System.Windows,RoutedEventHandlerInfo,RoutedEventHandlerInfo (type accessibility),accessibility,internal class RoutedEventHandlerInfo,public struct RoutedEventHandlerInfo,Promote the type from internal to public so it is part of the public API surface.
1,System.Windows,RoutingStrategy,Tunnel,default-value,Tunnel = 2,Tunnel = 0,"Reorder the enum to Tunnel=0, Bubble=1, Direct=2 to match WPF's numeric values. Jalium currently declares Direct, Bubble, Tunnel (Direct=0, Tunnel=2)."
1,System.Windows,RoutingStrategy,Direct,default-value,Direct = 0,Direct = 2,"Reorder the enum to Tunnel=0, Bubble=1, Direct=2 to match WPF. Value collision risk in serialization / RoutedEvent registration if any code depends on the numeric value."
1,System.Windows,Size,Width,accessibility,"public double Width { get; }  // readonly struct, no setter",public double Width { get; set; },WPF Size is mutable; Jalium is a readonly struct. Add settable Width for parity.
1,System.Windows,Size,Height,accessibility,"public double Height { get; }  // readonly struct, no setter",public double Height { get; set; },Add settable Height for parity.
1,System.Windows,SizeChangedEventArgs,(base class),kind-mismatch,public sealed class SizeChangedEventArgs : System.EventArgs,public class SizeChangedEventArgs : System.Windows.RoutedEventArgs,"Derive from RoutedEventArgs (not EventArgs) so the type gains the routed-event surface (RoutedEvent, Source, OriginalSource, Handled, InvokeEventHandler) and can be raised as a routed event."
1,System.Windows,SizeConverter,(base class),kind-mismatch,public sealed class SizeConverter : Jalium.UI.Markup.TypeConverter,public sealed class SizeConverter : System.ComponentModel.TypeConverter,"Jalium derives from a custom lightweight base (virtual CanConvertFrom(Type) + abstract ConvertFrom(object?)), not System.ComponentModel.TypeConverter."
1,System.Windows,SizeConverter,CanConvertFrom,param-count,public virtual bool CanConvertFrom(Type sourceType)  // inherited,"public override bool CanConvertFrom(System.ComponentModel.ITypeDescriptorContext context, System.Type sourceType)",Add the ITypeDescriptorContext-qualified overload for parity.
1,System.Windows,SizeConverter,ConvertFrom,param-count,public override object? ConvertFrom(object? value),"public override object ConvertFrom(System.ComponentModel.ITypeDescriptorContext context, System.Globalization.CultureInfo culture, object value)",WPF passes context+culture+value; Jalium passes only value. Add the 3-arg overload.
1,System.Windows,SplashScreen,(class modifier),kind-mismatch,public sealed class SplashScreen,public partial class SplashScreen,WPF SplashScreen is non-sealed (subclassable); Jalium marks it sealed. Minor: unseal if subclass parity is desired.
1,System.Windows,Style,Setters,return-type,public IList<Setter> Setters { get; },public System.Windows.SetterBaseCollection Setters { get; },Return SetterBaseCollection to match WPF; Jalium returns IList<Setter>.
1,System.Windows,Style,Triggers,return-type,public IList<TriggerBase> Triggers { get; },public System.Windows.TriggerCollection Triggers { get; },Return TriggerCollection to match WPF; Jalium returns IList<TriggerBase> (a Jalium.UI.TriggerCollection type exists but is not used here).
1,System.Windows,SystemColors,ControlBrushKey,kind-mismatch,public static readonly object ControlBrushKey,public static System.Windows.ResourceKey ControlBrushKey { get; },Expose as a get-only property of type ResourceKey; Jalium declares it as a `static readonly object` field (both member kind field-vs-property and type object-vs-ResourceKey differ).
1,System.Windows,SystemColors,ControlTextBrushKey,kind-mismatch,public static readonly object ControlTextBrushKey,public static System.Windows.ResourceKey ControlTextBrushKey { get; },Expose as a get-only property of type ResourceKey; Jalium declares it as a `static readonly object` field (both member kind field-vs-property and type object-vs-ResourceKey differ).
1,System.Windows,SystemColors,HighlightBrushKey,kind-mismatch,public static readonly object HighlightBrushKey,public static System.Windows.ResourceKey HighlightBrushKey { get; },Expose as a get-only property of type ResourceKey; Jalium declares it as a `static readonly object` field (both member kind field-vs-property and type object-vs-ResourceKey differ).
1,System.Windows,SystemColors,HighlightTextBrushKey,kind-mismatch,public static readonly object HighlightTextBrushKey,public static System.Windows.ResourceKey HighlightTextBrushKey { get; },Expose as a get-only property of type ResourceKey; Jalium declares it as a `static readonly object` field (both member kind field-vs-property and type object-vs-ResourceKey differ).
1,System.Windows,SystemColors,WindowBrushKey,kind-mismatch,public static readonly object WindowBrushKey,public static System.Windows.ResourceKey WindowBrushKey { get; },Expose as a get-only property of type ResourceKey; Jalium declares it as a `static readonly object` field (both member kind field-vs-property and type object-vs-ResourceKey differ).
1,System.Windows,SystemColors,WindowTextBrushKey,kind-mismatch,public static readonly object WindowTextBrushKey,public static System.Windows.ResourceKey WindowTextBrushKey { get; },Expose as a get-only property of type ResourceKey; Jalium declares it as a `static readonly object` field (both member kind field-vs-property and type object-vs-ResourceKey differ).
1,System.Windows,SystemFonts,CaptionFontFamily,return-type,public static string CaptionFontFamily { get; },public static System.Windows.Media.FontFamily CaptionFontFamily { get; },Return System.Windows.Media.FontFamily (Jalium.UI.Media.FontFamily) instead of string to match WPF.
1,System.Windows,SystemFonts,IconFontFamily,return-type,public static string IconFontFamily { get; },public static System.Windows.Media.FontFamily IconFontFamily { get; },Return System.Windows.Media.FontFamily (Jalium.UI.Media.FontFamily) instead of string to match WPF.
1,System.Windows,SystemFonts,MenuFontFamily,return-type,public static string MenuFontFamily { get; },public static System.Windows.Media.FontFamily MenuFontFamily { get; },Return System.Windows.Media.FontFamily (Jalium.UI.Media.FontFamily) instead of string to match WPF.
1,System.Windows,SystemFonts,MessageFontFamily,return-type,public static string MessageFontFamily { get; },public static System.Windows.Media.FontFamily MessageFontFamily { get; },Return System.Windows.Media.FontFamily (Jalium.UI.Media.FontFamily) instead of string to match WPF.
1,System.Windows,SystemFonts,SmallCaptionFontFamily,return-type,public static string SmallCaptionFontFamily { get; },public static System.Windows.Media.FontFamily SmallCaptionFontFamily { get; },Return System.Windows.Media.FontFamily (Jalium.UI.Media.FontFamily) instead of string to match WPF.
1,System.Windows,SystemFonts,StatusFontFamily,return-type,public static string StatusFontFamily { get; },public static System.Windows.Media.FontFamily StatusFontFamily { get; },Return System.Windows.Media.FontFamily (Jalium.UI.Media.FontFamily) instead of string to match WPF.
1,System.Windows,SystemParameters,SystemParameters.CaretWidth,return-type,public static int CaretWidth => 1;,public static double CaretWidth { get; },Change return type from int to double to match WPF.
1,System.Windows,SystemParameters,SystemParameters.MouseHoverTime,return-type,public static int MouseHoverTime => 400;,public static System.TimeSpan MouseHoverTime { get; },Change return type from int (ms) to System.TimeSpan (WPF returns a TimeSpan).
1,System.Windows,SystemParameters,SystemParameters.PowerLineStatus,return-type,public static bool PowerLineStatus => true;,public static System.Windows.PowerLineStatus PowerLineStatus { get; },Change return type from bool to the PowerLineStatus enum (map to Jalium.UI.PowerLineStatus).
1,System.Windows,TemplateBindingExpression,TemplateBindingExpression (type),accessibility,internal sealed class TemplateBindingExpression : BindingExpressionBase,public partial class TemplateBindingExpression : System.Windows.Expression,"WPF exposes this as a public framework-constructed type in System.Windows deriving from System.Windows.Expression. Promote to public, move to Jalium.UI, and expose the TemplateBindingExtension property."
1,System.Windows,TemplateBindingExtension,"TemplateBindingExtension(.ctor, 1-arg)",param-type,public TemplateBindingExtension(string property),public TemplateBindingExtension(System.Windows.DependencyProperty property),Add a DependencyProperty-typed constructor overload; Jalium only offers a string-name overload.
1,System.Windows,TemplateBindingExtension,TemplateBindingExtension.Property,return-type,public string? Property { get; set; },public System.Windows.DependencyProperty Property { get; set; },WPF exposes Property as DependencyProperty; Jalium stores the property name as string. Change type to DependencyProperty for parity.
1,System.Windows,TemplateKey,TemplateKey (type),kind-mismatch,public abstract class TemplateKey (base: object),"public abstract partial class TemplateKey : System.Windows.ResourceKey, System.ComponentModel.ISupportInitialize",Derive from ResourceKey and implement ISupportInitialize; add the protected TemplateType enum and TemplateType-taking constructors.
1,System.Windows,TextDecorationCollection,GetEnumerator,return-type,public System.Collections.Generic.List<TextDecoration>.Enumerator GetEnumerator() (inherited),public System.Windows.TextDecorationCollection.Enumerator GetEnumerator(),WPF exposes a custom nested public 'Enumerator' struct; Jalium inherits List<T>.Enumerator. The nested Enumerator type is absent from the public surface.
1,System.Windows,Thickness,Thickness.Left,accessibility,public double Left { get; },public double Left { get; set; },WPF Thickness is mutable; Jalium's is an immutable readonly struct. Assigning Thickness.Left won't compile against Jalium — add setters for parity.
1,System.Windows,Thickness,Thickness.Top,accessibility,public double Top { get; },public double Top { get; set; },Add setter for WPF parity (Jalium property is read-only).
1,System.Windows,Thickness,Thickness.Right,accessibility,public double Right { get; },public double Right { get; set; },Add setter for WPF parity (Jalium property is read-only).
1,System.Windows,Thickness,Thickness.Bottom,accessibility,public double Bottom { get; },public double Bottom { get; set; },Add setter for WPF parity (Jalium property is read-only).
1,System.Windows,ThicknessConverter,ThicknessConverter.ConvertFrom,param-count,public override object? ConvertFrom(object? value),"public override object ConvertFrom(System.ComponentModel.ITypeDescriptorContext typeDescriptorContext, System.Globalization.CultureInfo cultureInfo, object source)","WPF's 3-arg ConvertFrom (context, culture, source) is replaced by 1-arg ConvertFrom(object?) on Jalium's custom base. Add context/culture overloads for parity."
